0,1,-117.160477,32.764905,6281778.735,1859308.592
1,3,-117.082758,32.608489,6305215.417,1802199.155
2,4,-116.97258,32.644377,6339235.57,1815003.554
3,5,-117.0801,32.60636,6306027.787,1801418.019
4,6,-117.077558,32.621565,6306854.529,1806943.936
5,7,-116.968925,32.623129,6340307.38,1807264.918
6,8,-116.937151,32.630379,6350108.095,1809836.793
7,9,-117.166272,32.714312,6279835.564,1840916.818
8,10,-117.166272,32.714312,6279835.564,1840916.818
9,11,-117.029747,32.587848,6321484.124,1794562.927
10,13,-116.937151,32.630379,6350108.095,1809836.793
11,14,-117.094954,32.624214,6301506.003,1807950.699
12,15,-117.095046,32.624136,6301477.447,1807922.549
13,16,-116.966301,32.625307,6341120.763,1808051.8
14,17,-116.967884,32.62293,6340627.409,1807190.306
15,18,-117.064666,32.648226,6310899.853,1816612.929
16,19,-116.937151,32.630379,6350108.095,1809836.793
17,20,-117.100165,32.645038,6299963.332,1815540.259
18,22,-116.965227,32.62859,6341459.636,1809244.016
19,23,-117.080394,32.643138,6306043.819,1814799.923
20,24,-117.080793,32.643779,6305922.852,1815034.12
21,25,-117.048,32.6279,6315973.277,1809177.9
22,26,-117.078552,32.63862,6306597.781,1813151.599
23,27,-117.079515,32.638515,6306301.02,1813115.753
24,28,-117.079515,32.638515,6306301.02,1813115.753
25,29,-117.079775,32.640562,6306226.907,1813861.163
26,30,-117.075943,32.627,6307367.462,1808917.446
27,31,-116.992092,32.641424,6333221.566,1813971.326
28,32,-117.087908,32.630172,6303692.865,1810100.928
29,33,-117.0262,32.614735,6322649.516,1804337.302
30,34,-116.999202,32.642483,6331035.6,1814372.284
31,35,-117.080793,32.643779,6305922.852,1815034.12
32,36,-117.080793,32.643779,6305922.852,1815034.12
33,37,-117.080664,32.604637,6305849.103,1800792.511
34,38,-117.087393,32.63024,6303851.62,1810124.395
35,39,-117.078802,32.637452,6306517.441,1812727.25
36,40,-117.080793,32.643779,6305922.852,1815034.12
37,41,-117.080793,32.643779,6305922.852,1815034.12
38,42,-117.063077,32.647405,6311386.639,1816310.401
39,43,-117.024135,32.613267,6323281.429,1803798.46
40,44,-117.077957,32.602642,6306677.001,1800060.025
41,45,-117.101279,32.624467,6299559.308,1808058.591
42,46,-117.076313,32.63504,6307276.727,1811843.594
43,47,-117.098024,32.640523,6300609.023,1813892.174
44,48,-117.048,32.6279,6315973.277,1809177.9
45,49,-116.966463,32.649406,6341131.134,1816820.307
46,50,-116.97258,32.644377,6339235.57,1815003.554
47,51,-117.034276,32.594433,6320107.1,1796969.268
48,52,-117.050144,32.640585,6315348.59,1813798.234
49,53,-117.086041,32.630412,6304268.37,1810183.635
50,54,-117.166718,32.720527,6279718.264,1843179.244
51,55,-117.021692,32.63648,6324096.227,1812238.659
52,56,-117.100165,32.645038,6299963.332,1815540.259
53,57,-117.097563,32.640844,6300751.886,1814007.811
54,58,-116.952573,32.641199,6345386.52,1813805.181
55,59,-117.064647,32.624577,6310838.473,1808008.506
56,60,-117.166272,32.714312,6279835.564,1840916.818
57,61,-116.999572,32.647823,6330935.668,1816315.999
58,62,-117.022229,32.637716,6323934.24,1812689.587
